Metric,Value
Total Production,169
Faulty Products,7
Faulty Rate,0.03977272727272727
Station 1 Occupancy Rate,0.14537776349199627
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.14362231642250167
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.14269384180715763
Station 3 Wait Time,0.0
Station 3 Downtime,0.16924546865334836
Station 4 Occupancy Rate,0.138215747508755
Station 4 Wait Time,0.0
Station 4 Downtime,4.212864072996398
Station 5 Occupancy Rate,0.1363223181567459
Station 5 Wait Time,0.0
Station 5 Downtime,16.103804099507265
Station 6 Occupancy Rate,0.1338421758474039
Station 6 Wait Time,0.0
Station 6 Downtime,1.4978729561173785
Production Time,24.321495952317346
Fixing Time,2.7479733246592986
Supplier Occupancy,0.014227630528424993
