Metric,Value
Total Production,35
Faulty Products,1
Faulty Rate,0.027777777777777776
Station 1 Occupancy Rate,0.13210354326513574
Station 1 Wait Time,0.0
Station 1 Downtime,0
Station 2 Occupancy Rate,0.14004404296375636
Station 2 Wait Time,0.0
Station 2 Downtime,0
Station 3 Occupancy Rate,0.12492857005771262
Station 3 Wait Time,0.0
Station 3 Downtime,0
Station 4 Occupancy Rate,0.1436394898608102
Station 4 Wait Time,0.0
Station 4 Downtime,0
Station 5 Occupancy Rate,0.1554513679078806
Station 5 Wait Time,0.0
Station 5 Downtime,0
Station 6 Occupancy Rate,0.13803917512425845
Station 6 Wait Time,0.0
Station 6 Downtime,0
Occupancy Rate,0.834206189179554
Wait Time,0.0
Downtime,0
Production Time,22.97862166869336
Fixing Time,0
Supplier Occupancy,0.014000452736383067
