Metric,Value
Average Total Production,165.47
Production Standard Deviation,3.293797200800317
Average Faulty Products,8.14
Average Faulty Rate,0.04688036163815616
Station 1 Occupancy Rate,0.13992039210185964
Station 1 Average Wait Time,0.0
Station 1 Downtime,2.105027278936392
Station 2 Occupancy Rate,0.14101308932103873
Station 2 Average Wait Time,0.0
Station 2 Downtime,1.2557326212006372
Station 3 Occupancy Rate,0.13980310686336708
Station 3 Average Wait Time,0.0
Station 3 Downtime,4.756837092463353
Station 4 Occupancy Rate,0.14071812967133746
Station 4 Average Wait Time,0.0
Station 4 Downtime,15.652553643320319
Station 5 Occupancy Rate,0.13876468284334506
Station 5 Average Wait Time,0.0
Station 5 Downtime,7.44573088848447
Station 6 Occupancy Rate,0.13946595794990363
Station 6 Average Wait Time,0.0
Station 6 Downtime,6.33733076103005
Average Production Time,24.728621642333984
Average Fixing Time,3.0739969380096004
Average Supplier Occupancy,0.013056464523703983
