Metric,Value
Average Total Production,165.46
Production Standard Deviation,3.499771421107384
Average Faulty Products,8.68
Average Faulty Rate,0.04984884427464484
Station 1 Occupancy Rate,0.14033151965207388
Station 1 Average Wait Time,0.0
Station 1 Downtime,1.7018646510373707
Station 2 Occupancy Rate,0.1396907475596209
Station 2 Average Wait Time,0.0
Station 2 Downtime,1.3750993818601103
Station 3 Occupancy Rate,0.1414875815355366
Station 3 Average Wait Time,0.0
Station 3 Downtime,4.620164757541924
Station 4 Occupancy Rate,0.1394297332256467
Station 4 Average Wait Time,0.0
Station 4 Downtime,15.375888445624833
Station 5 Occupancy Rate,0.13912244690969183
Station 5 Average Wait Time,0.0
Station 5 Downtime,6.5957846813794925
Station 6 Occupancy Rate,0.13907867379796168
Station 6 Average Wait Time,0.0
Station 6 Downtime,6.362547581437191
Average Production Time,24.63288854859131
Average Fixing Time,2.956408145310889
Average Supplier Occupancy,0.013324771958638086
